run_id,backbone,method,transfer,target,shots,fold,GAL,SPDP
b5wim5y0,bptransformer,original,bcg,ppgbp,10,3,29.066665649414062,26.16337013244629
b5wim5y0,bptransformer,original,bcg,ppgbp,10,4,33.64927673339844,23.643409729003903
b9bw83d3,spectroresnet,original,ppgbp,sensors,10,0,30.08695411682129,29.183612823486328
b9bw83d3,spectroresnet,original,ppgbp,sensors,10,1,31.24005126953125,25.70856285095215
b9bw83d3,spectroresnet,original,ppgbp,sensors,10,2,30.82321548461914,29.865856170654297
b9bw83d3,spectroresnet,original,ppgbp,sensors,10,3,30.82283592224121,31.408510208129883
b9bw83d3,spectroresnet,original,ppgbp,sensors,10,4,29.977964401245117,25.334129333496097
bueokmbg,mlpbp,original,ppgbp,sensors,10,0,30.443662643432617,28.840442657470703
bueokmbg,mlpbp,original,ppgbp,sensors,10,1,30.258304595947266,28.42981338500977
bueokmbg,mlpbp,original,ppgbp,sensors,10,2,31.15826416015625,29.213130950927734
bueokmbg,mlpbp,original,ppgbp,sensors,10,3,30.73199462890625,30.939359664916992
bueokmbg,mlpbp,original,ppgbp,sensors,10,4,29.94976234436035,26.643434524536133
bwooh99f,resnet1d,original,bcg,ppgbp,10,0,36.32560348510742,28.467859268188477
bwooh99f,resnet1d,original,bcg,ppgbp,10,1,30.551334381103516,27.091548919677734
bwooh99f,resnet1d,original,bcg,ppgbp,10,2,36.113792419433594,28.22234344482422
bwooh99f,resnet1d,original,bcg,ppgbp,10,3,29.46479606628418,26.810728073120117
bwooh99f,resnet1d,original,bcg,ppgbp,10,4,33.5361328125,25.274402618408203
bx5a0fs6,resnet1d,original,sensors,ppgbp,10,0,36.35834884643555,27.17403984069824
bx5a0fs6,resnet1d,original,sensors,ppgbp,10,1,27.349090576171875,25.11001968383789
bx5a0fs6,resnet1d,original,sensors,ppgbp,10,2,37.27714157104492,26.321823120117188
bx5a0fs6,resnet1d,original,sensors,ppgbp,10,3,30.238426208496097,27.34810256958008
bx5a0fs6,resnet1d,original,sensors,ppgbp,10,4,33.87541198730469,24.4416446685791
cwiibh6x,resnet1d,original,ppgbp,sensors,10,0,30.080123901367188,28.554786682128903
cwiibh6x,resnet1d,original,ppgbp,sensors,10,1,29.81203269958496,26.150936126708984
cwiibh6x,resnet1d,original,ppgbp,sensors,10,2,31.70301055908203,32.368492126464844
cwiibh6x,resnet1d,original,ppgbp,sensors,10,3,30.94108772277832,31.33207321166992
cwiibh6x,resnet1d,original,ppgbp,sensors,10,4,30.476665496826172,25.505714416503903
dq2d4ht9,mlpbp,original,bcg,ppgbp,10,0,35.9007568359375,26.703060150146484
dq2d4ht9,mlpbp,original,bcg,ppgbp,10,1,27.448238372802734,24.602947235107425
dq2d4ht9,mlpbp,original,bcg,ppgbp,10,2,33.748802185058594,25.63128662109375
dq2d4ht9,mlpbp,original,bcg,ppgbp,10,3,29.33144187927246,26.389907836914062
dq2d4ht9,mlpbp,original,bcg,ppgbp,10,4,32.939292907714844,24.270782470703125
epmwpjxc,bptransformer,prompt_global,mimic_ecg,vital_ecg,10,0,37.304588317871094,33.319610595703125
epmwpjxc,bptransformer,prompt_global,mimic_ecg,vital_ecg,10,1,29.438316345214844,36.86489486694336
epmwpjxc,bptransformer,prompt_global,mimic_ecg,vital_ecg,10,2,33.21677017211914,34.55414581298828
